Name,Stream,Bin Number,Stream Character,Zone,geometry
1190NL,Landfill,190,L,1,"c(-118.440194682583, 34.075995675072, 0)"
1191DR,Recycle,191,R,1,"c(-118.439201976602, 34.0760953902606, 0)"
1192DL,Landfill,192,L,1,"c(-118.439195939706, 34.0760991176229, 0)"
1193DC,Compost,193,C,1,"c(-118.439190143375, 34.076101909255, 0)"
1194NR,Recycle,194,R,1,"c(-118.44020118954, 34.0761740644821, 0)"
1195NL,Landfill,195,L,1,"c(-118.440200989723, 34.0761831497739, 0)"
1196MR,Landfill,196,L,1,"c(-118.440006069755, 34.0761875314551, 0)"
1197FR,Recycle,197,R,1,"c(-118.439158538239, 34.0763018406783, 0)"
1198FL,Landfill,198,L,1,"c(-118.439164823979, 34.0763086525034, 0)"
1199ML,Landfill,199,L,1,"c(-118.439549725925, 34.0764324585147, 0)"
1200FR,Recycle,200,R,1,"c(-118.44047484299, 34.0764635189731, 0)"
1201FL,Landfill,201,L,1,"c(-118.440500844609, 34.0764720295068, 0)"
1202AC,Compost,202,C,1,"c(-118.440759904289, 34.0765924716971, 0)"
1203AR,Recycle,203,R,1,"c(-118.440768213012, 34.076593147325, 0)"
1204AS,Landfill,204,S,1,"c(-118.440764421235, 34.0765958036944, 0)"
2001FR,Recycle,001,R,2,"c(-118.445144996902, 34.0686096449272, 0)"
2002FL,Landfill,002,L,2,"c(-118.445137754803, 34.0686158372555, 0)"
2003IL,Landfill,003,L,2,"c(-118.446168536829, 34.0688866567565, 0)"
2004IR,Recycle,004,R,2,"c(-118.446165822781, 34.0688874583712, 0)"
2005DR,Recycle,005,R,2,"c(-118.448233263388, 34.0689027866177, 0)"
2006DL,Landfill,006,L,2,"c(-118.448208829944, 34.0689103691323, 0)"
2008IR,Recycle,008,R,2,"c(-118.445438148812, 34.069091435865, 0)"
2012IR,Recycle,012,R,2,"c(-118.446167033216, 34.0694813089825, 0)"
2013IL,Landfill,013,L,2,"c(-118.446167033216, 34.0694813089825, 0)"
2014IL,Landfill,014,L,2,"c(-118.445371265574, 34.0695032853084, 0)"
2015IR,Recycle,015,R,2,"c(-118.445370778916, 34.0695049246957, 0)"
2016FL,Landfill,016,L,2,"c(-118.443748646345, 34.0698098916333, 0)"
2017FR,Recycle,017,R,2,"c(-118.443748077623, 34.0698124453411, 0)"
2018FL,Landfill,018,L,2,"c(-118.44745808082, 34.0698187143628, 0)"
2019FR,Recycle,019,R,2,"c(-118.447451146172, 34.0698213153657, 0)"
2020FR,Recycle,020,R,2,"c(-118.447882892346, 34.0698320185636, 0)"
2021FL,Landfill,021,L,2,"c(-118.445437341195, 34.0698377248895, 0)"
2022FL,Landfill,022,L,2,"c(-118.447873962916, 34.0698380838914, 0)"
2023FR,Recycle,023,R,2,"c(-118.445429067154, 34.0698389988934, 0)"
2024FR,Recycle,024,R,2,"c(-118.444847643427, 34.0698412923482, 0)"
2025LR,Recycle,025,R,2,"c(-118.446683436632, 34.0698418123593, 0)"
2026FL,Landfill,026,L,2,"c(-118.44485516155, 34.0698418755331, 0)"
2027FL,Landfill,027,L,2,"c(-118.44707752414, 34.0698451234865, 0)"
2028FR,Recycle,028,R,2,"c(-118.447072875761, 34.0698452959507, 0)"
2029FR,Recycle,029,R,2,"c(-118.444724896551, 34.0698471118621, 0)"
2030FL,Landfill,030,L,2,"c(-118.44472134156, 34.0698486416379, 0)"
2031LL,Landfill,031,L,2,"c(-118.446562167988, 34.0698498941385, 0)"
2032FR,Recycle,032,R,2,"c(-118.446470411297, 34.0698508522478, 0)"
2033FL,Landfill,033,L,2,"c(-118.446437430426, 34.0698590857586, 0)"
2034FR,Recycle,034,R,2,"c(-118.445695454643, 34.069972638061, 0)"
2035FL,Landfill,035,L,2,"c(-118.445694577005, 34.0699804892674, 0)"
2036AC,Compost,036,C,2,"c(-118.44754105954, 34.0700309593224, 0)"
2037AS,Landfill,037,S,2,"c(-118.44753335973, 34.0700346125994, 0)"
