Name,Stream,Bin Number,Stream Character,Zone,geometry
3115FR,Recycle,115,R,3,"c(-118.4402865807, 34.0679863254309, 0)"
3116FL,Landfill,116,L,3,"c(-118.440280246421, 34.06798726475, 0)"
3117FL,Landfill,117,L,3,"c(-118.440231302517, 34.0683826026738, 0)"
3118FR,Recycle,118,R,3,"c(-118.440231302517, 34.0683826026738, 0)"
3119FR,Recycle,119,R,3,"c(-118.442528498905, 34.0684408379994, 0)"
3120FL,Landfill,120,L,3,"c(-118.442528445599, 34.0684503142224, 0)"
3121AC,Compost,121,C,3,"c(-118.442519715204, 34.0685807230226, 0)"
3122AS,Landfill,122,S,3,"c(-118.442514830842, 34.0685819772141, 0)"
3123AR,Recycle,123,R,3,"c(-118.442519429473, 34.0685820237315, 0)"
3126FR,Recycle,126,R,3,"c(-118.441929029023, 34.0686130227105, 0)"
3127FL,Landfill,127,L,3,"c(-118.441933683826, 34.0686459981975, 0)"
3130DR,Recycle,130,R,3,"c(-118.443054404659, 34.068956770489, 0)"
3131DL,Landfill,131,L,3,"c(-118.443038434268, 34.0689832098475, 0)"
3132DC,Compost,132,C,3,"c(-118.443032488718, 34.0689851141514, 0)"
3133FR,Recycle,133,R,3,"c(-118.442167359222, 34.0689856723946, 0)"
3134FL,Landfill,134,L,3,"c(-118.442155400142, 34.0689861582291, 0)"
3137FL,Landfill,137,L,3,"c(-118.444520647739, 34.0690051354967, 0)"
3138FL,Landfill,138,L,3,"c(-118.441930684407, 34.0690080072304, 0)"
3139FR,Recycle,139,R,3,"c(-118.444513378674, 34.0690144420764, 0)"
3140FR,Recycle,140,R,3,"c(-118.441937780126, 34.0690154235958, 0)"
3143FR,Recycle,143,R,3,"c(-118.442557346429, 34.069116485989, 0)"
3144FL,Landfill,144,L,3,"c(-118.442536299051, 34.0691558978675, 0)"
3145FL,Landfill,145,L,3,"c(-118.444613988116, 34.0691704650909, 0)"
3146FR,Recycle,146,R,3,"c(-118.444606732653, 34.0691817217153, 0)"
3147FR,Recycle,147,R,3,"c(-118.440493828532, 34.0692395980978, 0)"
3148FL,Landfill,148,L,3,"c(-118.440537364797, 34.0692469579142, 0)"
3149DC,Compost,149,C,3,"c(-118.441935145646, 34.0692709465626, 0)"
3150DL,Landfill,150,L,3,"c(-118.441942316392, 34.0692740946028, 0)"
3151FL,Landfill,151,L,3,"c(-118.444798501386, 34.0692767468669, 0)"
3152FR,Recycle,152,R,3,"c(-118.444798501386, 34.0692767468669, 0)"
3153DR,Recycle,153,R,3,"c(-118.441938446682, 34.0692899058131, 0)"
3154FR,Recycle,154,R,3,"c(-118.44186684161, 34.0694469542148, 0)"
3155FL,Landfill,155,L,3,"c(-118.441840817797, 34.0694490675453, 0)"
3157FR,Recycle,157,R,3,"c(-118.4442312929, 34.0695895940214, 0)"
3158FL,Landfill,158,L,3,"c(-118.444220863685, 34.0695899934169, 0)"
3160FR,Recycle,160,R,3,"c(-118.443492060317, 34.0697321690398, 0)"
3161FL,Landfill,161,L,3,"c(-118.443492345063, 34.0697386377757, 0)"
3162FL,Landfill,162,L,3,"c(-118.441633003976, 34.0697878813272, 0)"
3163FR,Recycle,163,R,3,"c(-118.441611242519, 34.0697889317135, 0)"
3164FR,Recycle,164,R,3,"c(-118.441756445771, 34.0697937754592, 0)"
3165FL,Landfill,165,L,3,"c(-118.44173896874, 34.0697942588524, 0)"
3166DL,Landfill,166,L,3,"c(-118.443133310491, 34.0697962315088, 0)"
3167DR,Recycle,167,R,3,"c(-118.443138891808, 34.0697985626903, 0)"
3168DC,Compost,168,C,3,"c(-118.443126059572, 34.0697996361522, 0)"
3169FR,Recycle,169,R,3,"c(-118.440523595893, 34.0698954086828, 0)"
3170FL,Landfill,170,L,3,"c(-118.440508081392, 34.0698985856201, 0)"
3171DL,Landfill,171,L,3,"c(-118.442572518069, 34.0699499537869, 0)"
3172DR,Recycle,172,R,3,"c(-118.442564274771, 34.0699509073303, 0)"
3173DC,Compost,173,C,3,"c(-118.442570589841, 34.0699516906238, 0)"
3174ML,Landfill,174,L,3,"c(-118.441639055831, 34.0700578989781, 0)"
3175FL,Landfill,175,L,3,"c(-118.440881572136, 34.0702339302166, 0)"
3176FR,Recycle,176,R,3,"c(-118.440892573355, 34.0702447571295, 0)"
3177FR,Recycle,177,R,3,"c(-118.439922793881, 34.0704145909444, 0)"
3178FL,Landfill,178,L,3,"c(-118.439872629114, 34.0704168585866, 0)"
3179FR,Recycle,179,R,3,"c(-118.440742053002, 34.0707087157378, 0)"
3180FL,Landfill,180,L,3,"c(-118.440742271517, 34.0707118936804, 0)"
3184DL,Landfill,184,L,3,"c(-118.441112152652, 34.0709147768909, 0)"
3185DC,Compost,185,C,3,"c(-118.44110497866, 34.0709168181775, 0)"
3186DR,Recycle,186,R,3,"c(-118.44110992415, 34.0709193359887, 0)"
3187AC,Compost,187,C,3,"c(-118.442922291112, 34.0709425811462, 0)"
3188AS,Landfill,188,S,3,"c(-118.442922291112, 34.0709425811462, 0)"
3189AR,Recycle,189,R,3,"c(-118.442926742697, 34.0709488564843, 0)"
3190AR,Recycle,190,R,3,"c(-118.440662399331, 34.0713976562433, 0)"
3191AS,Landfill,191,S,3,"c(-118.440663496946, 34.071399512552, 0)"
3192AC,Compost,192,C,3,"c(-118.44066551041, 34.0714004134396, 0)"
3074AC,Compost,074,C,3,"c(-118.442927077308, 34.0661701132259, 119.100976601274)"
3067AC,Compost,067,C,3,"c(-118.443236740672, 34.0661385944882, 119.041392360842)"
3072AS,Landfill,072,S,3,"c(-118.442932507455, 34.0661701011314, 119.050578330519)"
3068AS,Landfill,068,S,3,"c(-118.443236740672, 34.0661385944882, 119.041387639128)"
3075AR,Recycle,075,R,3,"c(-118.442927077308, 34.0661701132259, 119.100986044702)"
3069AR,Recycle,069,R,3,"c(-118.443254596064, 34.066141044696, 119.159742185181)"
3064BC,Compost,064,C,3,"c(-118.443346474084, 34.0661189646434, 119.555551589632)"
3082BC,Compost,082,C,3,"c(-118.443347887688, 34.066266711969, 120.179714105717)"
3077BC,Compost,077,C,3,"c(-118.442658122618, 34.0662322612088, 122.260118274577)"
3057BC,Compost,057,C,3,"c(-118.442679446253, 34.0660483339547, 120.615843367675)"
3073BC,Compost,073,C,3,"c(-118.442932507455, 34.0661701011314, 119.05058777253)"
3076BS,Landfill,076,S,3,"c(-118.442710858814, 34.0662283318484, 119.598197283508)"
3062BS,Landfill,062,S,3,"c(-118.443330204475, 34.0661116427003, 119.826954189483)"
3079BS,Landfill,079,S,3,"c(-118.443330204461, 34.0662590984793, 120.556363116829)"
3058BS,Landfill,058,S,3,"c(-118.442679446253, 34.0660483339547, 120.615857532816)"
3065BS,Landfill,065,S,3,"c(-118.443034888541, 34.0661224792862, 119.121139300883)"
3063BR,Recycle,063,R,3,"c(-118.443343516743, 34.0661189639479, 119.545579735012)"
3080BR,Recycle,080,R,3,"c(-118.443355248584, 34.0662630123763, 120.227192591271)"
3078BR,Recycle,078,R,3,"c(-118.442682897721, 34.0662395910887, 122.260103016105)"
3059BR,Recycle,059,R,3,"c(-118.442679446253, 34.0660483339547, 120.615843367675)"
3066BR,Recycle,066,R,3,"c(-118.443027767927, 34.0661343660576, 119.06580539601)"
3183DC,Compost,183,C,3,"c(-118.442544467383, 34.0708002225778, 145.776410604356)"
3091DC,Compost,091,C,3,"c(-118.440249395479, 34.0670028197206, 123.196929678303)"
3052DC,Compost,052,C,3,"c(-118.442358501313, 34.0657530022732, 119.104092306445)"
3181DL,Landfill,181,L,3,"c(-118.44256818903, 34.0707665283342, 148.726309305824)"
3090DL,Landfill,090,L,3,"c(-118.440257345733, 34.0670000593504, 123.207127180994)"
3054DL,Landfill,054,L,3,"c(-118.442356970041, 34.0657549800411, 119.114499561431)"
3182DR,Recycle,182,R,3,"c(-118.442555728415, 34.0707827771314, 148.19049874171)"
3089DR,Recycle,089,R,3,"c(-118.440244856068, 34.066995765795, 123.792549582839)"
3053DR,Recycle,053,R,3,"c(-118.442358501313, 34.0657530022732, 119.104115913598)"
3159FL,Landfill,159,L,3,"c(-118.443474451121, 34.0696019170544, 131.876501291031)"
3142FL,Landfill,142,L,3,"c(-118.441559000378, 34.0691071546041, 132.161596750596)"
3135FL,Landfill,135,L,3,"c(-118.441577373227, 34.0690011490324, 131.863268695033)"
3128FL,Landfill,128,L,3,"c(-118.441555494084, 34.068734444261, 154.287646238103)"
3124FL,Landfill,124,L,3,"c(-118.440499701102, 34.0685872024179, 0)"
3156FR,Recycle,156,R,3,"c(-118.44346972223, 34.069578532709, 131.651078590579)"
3141FR,Recycle,141,R,3,"c(-118.441566335547, 34.0691020140841, 132.456940470568)"
3136FR,Recycle,136,R,3,"c(-118.441577373227, 34.0690011490324, 131.863247448737)"
3129FR,Recycle,129,R,3,"c(-118.441559171248, 34.0687495327526, 155.15633702993)"
3125FR,Recycle,125,R,3,"c(-118.440489081037, 34.0685955934317, 125.322574350814)"
3084ML,Landfill,084,L,3,"c(-118.441913554398, 34.0665529958474, 0)"
3083ML,Landfill,083,L,3,"c(-118.442153455756, 34.0665480300849, 141.211623065097)"
3081ML,Landfill,081,L,3,"c(-118.442394233762, 34.0662639147044, 122.023654599709)"
3041ML,Landfill,041,L,3,"c(-118.441866136875, 34.0655100833587, 117.642518354519)"
3036NL,Landfill,036,L,3,"c(-118.44271016694, 34.0654697967125, 118.220143082444)"
3035NR,Recycle,035,R,3,"c(-118.442719636796, 34.065464421283, 127.295146046695)"
